county_name,median_income
Alameda,129367
Alpine,105521
Amador,88044
Butte,67928
Calaveras,78647
Colusa,75672
Contra Costa,127229
Del Norte,67058
El Dorado,108845
Fresno,74201
Glenn,67139
Humboldt,61160
Imperial,57681
Inyo,73991
Kern,70210
Kings,70995
Lake,60621
Lassen,67403
Los Angeles,90112
Madera,76627
Marin,149091
Mariposa,68412
Mendocino,68092
Merced,65510
Modoc,59455
Mono,99415
Monterey,97230
Napa,111471
Nevada,89882
Orange,116289
Placer,115998
Plumas,66031
Riverside,93074
Sacramento,92175
San Benito,114394
San Bernardino,85478
San Diego,106268
San Francisco,140970
San Joaquin,92179
San Luis Obispo,97446
San Mateo,158855
Santa Barbara,98161
Santa Clara,164281
Santa Cruz,111093
Shasta,72636
Sierra,63355
Siskiyou,59095
Solano,100401
Sonoma,104674
Stanislaus,81468
Sutter,79704
Tehama,63784
Trinity,53002
Tulare,71300
Tuolumne,77404
Ventura,109797
Yolo,91752
Yuba,76373
