county_name,violent_crime_rate,reportyear
San Francisco,8.5913393447125,2013
San Mateo,2.37800665199158,2013
San Luis Obispo,3.86177099589619,2013
San Joaquin,7.02715898171104,2013
San Diego,3.48483785195755,2013
Placer,1.80281567029233,2013
San Benito,4.26814396710916,2013
Sacramento,5.14201964025705,2013
Riverside,2.70341651180386,2013
Plumas,4.77971737323358,2013
San Bernardino,4.02087575379502,2013
Santa Barbara,3.26159062430898,2013
Ventura,1.93772169605961,2013
Santa Cruz,3.73518228584209,2013
Shasta,6.41562064156206,2013
Sierra,2.29885057471264,2013
Siskiyou,2.63954308598994,2013
Solano,4.72408599205806,2013
Sonoma,3.60100391624332,2013
Stanislaus,5.1774457044929,2013
Sutter,2.5630790562827,2013
Tehama,5.53584102200142,2013
Trinity,2.22849502302778,2013
Tulare,4.60320665917393,2013
Tuolumne,1.91802759725145,2013
Orange,1.93732643180832,2013
Santa Clara,2.44326857433287,2013
Nevada,4.4066761652758,2013
Kern,5.76315063059469,2013
Monterey,4.16355289847336,2013
Yolo,3.12548683595576,2013
Alameda,7.47316212350102,2013
Alpine,5.35236396074933,2013
Amador,2.71562024766457,2013
Butte,2.85116812448002,2013
Calaveras,2.91767663165455,2013
Colusa,2.00662653413598,2013
Contra Costa,3.63350160026345,2013
Del Norte,6.19885940986858,2013
El Dorado,2.15934887326283,2013
Fresno,5.10109451380848,2013
Glenn,5.39382032505805,2013
Napa,2.97895443699904,2013
Humboldt,3.51272436229972,2013
Inyo,4.05230170736979,2013
Kings,4.79319828634897,2013
Lake,5.57853829760562,2013
Lassen,3.81095273818455,2013
Los Angeles,4.02937460382489,2013
Madera,6.6569790275705,2013
Marin,2.01474795503083,2013
Mariposa,4.71512770137525,2013
Mendocino,5.3986663464068,2013
Merced,5.8790614673835,2013
Modoc,7.48697916666667,2013
Mono,2.01472835903849,2013
Imperial,3.04307391667746,2013
Yuba,3.71523793913566,2013
