county_name,zhvi,median_income,violent_crime_rate,reportyear
Alameda,1086737.361423184,129367,7.47316212350102,2013
Alpine,514117.0466313963,105521,5.35236396074933,2013
Amador,418138.1429638785,88044,2.71562024766457,2013
Butte,402207.3862112646,67928,2.85116812448002,2013
Calaveras,433276.4396988584,78647,2.91767663165455,2013
Colusa,370444.64884664706,75672,2.00662653413598,2013
Contra Costa,789907.5038023079,127229,3.63350160026345,2013
Del Norte,366285.8046143974,67058,6.19885940986858,2013
El Dorado,653105.8808273472,108845,2.15934887326283,2013
Fresno,409962.2343493073,74201,5.10109451380848,2013
Glenn,362262.5915798662,67139,5.39382032505805,2013
Humboldt,425013.47748555057,61160,3.51272436229972,2013
Imperial,378175.4465862157,57681,3.04307391667746,2013
Inyo,529157.6142738928,73991,4.05230170736979,2013
Kern,363090.7084658385,70210,5.76315063059469,2013
Kings,364475.8862628353,70995,4.79319828634897,2013
Lake,305225.79496457963,60621,5.57853829760562,2013
Lassen,231144.782087356,67403,3.81095273818455,2013
Los Angeles,888344.9533551793,90112,4.02937460382489,2013
Madera,425121.01268523413,76627,6.6569790275705,2013
Marin,1469865.843746683,149091,2.01474795503083,2013
Mariposa,401079.4769249545,68412,4.71512770137525,2013
Mendocino,489567.4449486822,68092,5.3986663464068,2013
Merced,418061.5227584595,65510,5.8790614673835,2013
Modoc,191780.9642884009,59455,7.48697916666667,2013
Mono,755676.5765760901,99415,2.01472835903849,2013
Monterey,849200.7983293064,97230,4.16355289847336,2013
Napa,887245.1685076471,111471,2.97895443699904,2013
Nevada,611865.3018965954,89882,4.4066761652758,2013
Orange,1194407.4204478988,116289,1.93732643180832,2013
Placer,685953.9193593605,115998,1.80281567029233,2013
Plumas,362742.870280535,66031,4.77971737323358,2013
Riverside,608606.297831504,93074,2.70341651180386,2013
Sacramento,530242.8019660596,92175,5.14201964025705,2013
San Benito,771496.498543346,114394,4.26814396710916,2013
San Bernardino,551490.5117020494,85478,4.02087575379502,2013
San Diego,941930.5083986073,106268,3.48483785195755,2013
San Francisco,1357007.3513722506,140970,8.5913393447125,2013
San Joaquin,532711.3058919559,92179,7.02715898171104,2013
San Luis Obispo,906921.6541078,97446,3.86177099589619,2013
San Mateo,1606596.3820100958,158855,2.37800665199158,2013
Santa Barbara,994383.5762182188,98161,3.26159062430898,2013
Santa Clara,1679213.2950547617,164281,2.44326857433287,2013
Santa Cruz,1149399.6588300867,111093,3.73518228584209,2013
Shasta,370887.8737649662,72636,6.41562064156206,2013
Sierra,328754.43212889484,63355,2.29885057471264,2013
Siskiyou,278754.7170863385,59095,2.63954308598994,2013
Solano,577137.5893329842,100401,4.72408599205806,2013
Sonoma,792143.0110032599,104674,3.60100391624332,2013
Stanislaus,467165.81570995064,81468,5.1774457044929,2013
Sutter,438590.83830835944,79704,2.5630790562827,2013
Tehama,318463.57923254813,63784,5.53584102200142,2013
Trinity,246519.77765609053,53002,2.22849502302778,2013
Tulare,360206.0496636455,71300,4.60320665917393,2013
Tuolumne,388487.8398804056,77404,1.91802759725145,2013
Ventura,885254.2297211302,109797,1.93772169605961,2013
Yolo,622227.2597497207,91752,3.12548683595576,2013
Yuba,418796.79847381846,76373,3.71523793913566,2013
